doc_id,name,county,tier,phone,website,lat,lng,checks_failed
0Dk4GboMssf30RKF6xtf,"St. Mary's Episcopal Church Pantry",Walker,orange,"(205) 387-7746","",33.8612672,-87.2863161,"unparseable_hours_freetext"
0UqTTAfHiiwGEDTFhyHJ,"Catholic Social Services",Houston,orange,"(334) 793-3601","",31.225069608786,-85.399781921944,"unparseable_hours_freetext; duplicate_name_x2"
0VVF3WdhyUhDpUry0KA1,"CSFP - McMillon Estates",Jefferson,grey,"","",33.4784022,-86.9015148,"missing_phone; unparseable_hours_freetext"
0dlOojd9iVbwZVX0kHmP,"Geneva County Community Church",Geneva,orange,"(334) 791-7663","",31.083944830796,-85.851396386782,"unparseable_hours_freetext"
0ibtuLGeZ6D8698Mwi0U,"Food Pantry of the First Baptist Church Dadeville",Tallapoosa,orange,"(334) 559-8053","",32.829549180279,-85.764605866753,"unparseable_hours_freetext"
0nj4TGnRlN4417jzwBWk,"First Universalist Church of Camp Hill",Tallapoosa,orange,"(334) 497-0868","",32.9098,-85.9319,"unparseable_hours_freetext; missing_street; placeholder_coords_repeated_x2"
0pNqDCDmt2aLY4J1X8yj,"I Care Christian Ministries Pantry",Jefferson,orange,"(205) 335-3815","",33.5780237,-86.9141968,"unparseable_hours_freetext"
0uUlU3vNMcCNTLVklnpR,"Lott Road Church of God",Mobile,orange,"(251) 649-8991","",30.800798,-88.24172201,"unparseable_hours_freetext"
0zXAXOK0LXlsX3U2IGhT,"Faith in Action Ministries",Perry,orange,"(251) 895-9239","",32.6368,-87.3195,"unparseable_hours_freetext; missing_zip; placeholder_coords_repeated_x6"
18JMtFnU8GBCLgOlTB0x,"Christian Life Church",Baldwin,orange,"(251) 967-4840","",30.28775998,-87.58921398,"unparseable_hours_freetext"
1AV1Q2w28JQpqB4egPEV,"Living Way Apostolic Church",Lawrence,grey,"","",34.680229258675,-87.373706346541,"missing_phone; unparseable_hours_freetext"
1LBQIOvx74dQPMqeQe1g,"The Chapel",Colbert,grey,"","",34.763990779707,-87.696370550229,"missing_phone; unparseable_hours_freetext"
1MG0XWluHIyrX2IVW4Bu,"Our Lady of the Valley Catholic Church",DeKalb,grey,"","",34.469009237334,-85.699411892238,"missing_phone; unparseable_hours_freetext"
1OLbA3kNdM3dRdwVymVw,"Heaven's Storehouse at Oakwood University Church",Madison,grey,"","",34.7304,-86.5861,"missing_phone; unparseable_hours_freetext; placeholder_coords_repeated_x6"
1RZYQYntOkYX2SNeMcTH,"New Prospect Baptist Church Pantry",Walker,orange,"(205) 387-1947","",33.8623894,-87.2971291,"unparseable_hours_freetext"
1RmBcFF9aRkBWyiJRMc1,"CSFP - Ashland Housing Authority",Clay,orange,"(256) 354-2661","",33.2759166,-85.8359712,"unparseable_hours_freetext"
1WLbb1hA9q3A8zDH1LQs,"Pure Word Deliverance House of Prayer",Mobile,orange,"(251) 456-1234","",30.75616701,-88.14005296,"unparseable_hours_freetext"
1p1bNSEuGv7hRnnLT6M9,"Nazaree Full Gospel Church",Mobile,orange,"(251) 478-9948","",30.65544187,-88.12351451,"unparseable_hours_freetext"
1pgdioGrjR2GSlkLPQF0,"Sumiton Church of God Pantry",Walker,orange,"(205) 482-2728","",33.7470599,-87.0486852,"unparseable_hours_freetext"
1sAzWkohrD87PJI6jwr6,"Lakewood Baptist Church",Russell,orange,"(334) 298-6433","https://www.lbcpc.org/outreach",32.499701,-85.034673,"unparseable_hours_freetext; missing_zip; duplicate_name_x2"
1uye67D3bZYMYdbkDAfc,"Cedar Street Missionary Baptist Church",Mobile,orange,"(251) 675-0606","",30.83381902,-88.05860903,"unparseable_hours_freetext"
21UaTtW6cISOuyn4SH8Y,"Ridgecrest Baptist Church",Dale,orange,"(334) 774-5610","",31.4574,-85.6497,"unparseable_hours_freetext; placeholder_coords_repeated_x2"
2Egt34xgTDLSI4yaXOqA,"Lineville Baptist Church Pantry & Soup Kitchen",Clay,orange,"(256) 282-7156","",33.3135405,-85.7547472,"unparseable_hours_freetext"
2FikpmqF0FksGADwSKhq,"Metro West Ministries Pantry",Jefferson,orange,"(205) 423-5757","",33.4898721,-86.9116818,"unparseable_hours_freetext"
2M73pHHCv0SFYD30DZkb,"Jonathan's House of Prayer (JHOP)",Lowndes,orange,"(334) 221-7215","",32.1840315,-86.5802533,"unparseable_hours_freetext"
2QuZ3qxN4kOIbDZyJtVg,"Bible Verse Church",Montgomery,orange,"(334) 245-3447","",32.3278024,-86.2559973,"unparseable_hours_freetext"
2cEcXnpFcITRBT3JItIi,"Faith Walk Ministries",Crenshaw,orange,"(334) 492-4541","https://www.feedingamerica.org/find-your-local-foodbank",31.7192451,-86.2681433,"unparseable_hours_freetext; website_is_directory_listing"
2dfP6OzLfK7dti6uPXXX,"North Glencoe Baptist Church Pantry & Backpack",Etowah,orange,"(256) 492-1910","",33.9704705,-85.9465184,"unparseable_hours_freetext"
2gcI9FCp9aH563798HNt,"Jabezz Ministry",Monroe,orange,"(251) 267-3663","",31.42063186,-87.42021853,"unparseable_hours_freetext"
2k2LwZ3Pazz6YB7YlgSG,"McGhee Memorial Church of God in Christ",Baldwin,orange,"(251) 937-3600","",30.866691,-87.78322604,"unparseable_hours_freetext"
2kXPzVzxoKQC620DmBh9,"Mt. Hope Baptist Church",Lawrence,grey,"","",34.455457909749,-87.481727420297,"missing_phone; unparseable_hours_freetext"
2l8mUlJ3BFhFmqT9Bles,"State Street African Methodist Episcopal Zion Church",Mobile,orange,"(251) 432-3965","",30.69385598,-88.05021304,"unparseable_hours_freetext"
2wsip4vFHBFqXXeC1yxd,"Freewater Missionary Baptist Church",Mobile,orange,"(251) 824-2035","",30.452363,-88.24198403,"unparseable_hours_freetext"
2zkxijrwbjix50frGgwM,"Alabama Avenue Church of God",Dallas,orange,"(334) 412-0657","",32.412973428418,-87.007114138188,"unparseable_hours_freetext; missing_zip"
31CVInQljNsghg889kod,"Church On The Rock",Russell,grey,"","",32.46930231659,-85.068442150239,"missing_phone; unparseable_hours_freetext"
31LyvLMRYTANLQYy1mTa,"Mt. Pisgah Baptist Church Pantry",Etowah,orange,"(256) 572-2791","",34.1222138,-85.9425588,"unparseable_hours_freetext"
3JnFB2tImaeg8ZI69gvU,"First United Methodist Church Lineville",Clay,orange,"(256) 684-1287","",33.3121204,-85.7540092,"unparseable_hours_freetext"
3QKfny9FgQbBvzQb6fln,"Argo First Baptist Church Pantry",Walker,orange,"(205) 706-7461","",33.799904,-87.1127997,"unparseable_hours_freetext"
3R8nlXwUPQLRnHcEjvam,"New Life Interfaith Ministries, Inc Pantry",Jefferson,orange,"(205) 425-4735","",33.4029358,-86.9606175,"unparseable_hours_freetext"
3RiPbsBsmtuxV7xZ0koa,"The Leaf Pantry and Urban Farm",Jefferson,orange,"(205) 999-1854","",33.4526316,-86.9443639,"unparseable_hours_freetext"
3XAXcEWWGPCQW9ypGbvo,"Bethlehem Missionary Baptist Church",Russell,orange,"(334) 298-1403","",32.470918734062,-85.055739201129,"unparseable_hours_freetext"
3nYUa7zGHXnADLWfgs5J,"Fountain of Life Community Development",Madison,grey,"","",34.6940402092,-86.609598688519,"missing_phone; unparseable_hours_freetext"
3q6sgNfeVQPF1CAmwmN1,"Flat Rock Community Center",Jackson,grey,"","",34.769637400665,-85.691455749899,"missing_phone; unparseable_hours_freetext; coords_outside_county_bounds"
3rSkOnIZfAsGDAGIpeQ7,"Feeding the Gulf Coast",Mobile,orange,"(251) 653-1617","https://www.feedingthegulfcoast.org/",30.580844,-88.162852,"unparseable_hours_freetext; missing_zip; website_is_directory_listing"
3xiYRQ0Qi1cKvbsKkuSo,"Calvary Assembly of God - Decatur Dream Center",Morgan,grey,"","",34.589478126634,-86.991860706786,"missing_phone; unparseable_hours_freetext"
3ywk47uEnzN9UIOAD2dW,"Miller Hill Missionary Baptist Church",Sumter,orange,"(205) 499-9798","",32.7295907,-88.1126539,"unparseable_hours_freetext"
43kLmgk4ry39Tq7KbwQs,"First Missionary BC",Houston,orange,"(334) 258-3861","",31.293197468263,-85.117643390923,"unparseable_hours_freetext"
4EJJw5l3lSbW5lGvA0FS,"Bethel United Methodist Church Pantry",Jefferson,orange,"(205) 283-1383","",33.7946328,-86.7089546,"unparseable_hours_freetext"
